number,title,login,created_at,closed_at,is_pr
118,Fixup SpecialFunctions `lgamma` deprecation,nickrobinson251,2019-10-14T13:08:57.0,2020-04-29T17:01:49.0,false
117,"List of papers, PDFs etc. with rules",oxinabox,2019-10-07T16:31:09.0,,false
116,do using of at-required packages relative,oxinabox,2019-10-04T14:45:28.0,2019-10-04T15:52:51.0,true
115, Warning: Error requiring NaNMath/SpecialFunctions from ChainRules,awf,2019-10-04T14:09:27.0,2020-04-29T16:57:31.0,false
114,Typo fix.,awf,2019-10-04T13:54:25.0,2019-10-04T13:55:59.0,true
113,Add Logo,oxinabox,2019-09-27T13:45:02.0,2019-09-27T14:07:07.0,true
112,Update README.md for New Era,oxinabox,2019-09-26T11:58:59.0,2019-09-27T14:09:06.0,true
109,Logo?,oxinabox,2019-09-21T15:22:22.0,2019-09-27T14:07:07.0,false
108,Add rrule for Diagonal * AbstractVector,tkf,2019-09-20T05:38:18.0,2019-09-21T08:38:36.0,true
107,Add `frule` for `\`,nickrobinson251,2019-09-17T17:03:15.0,,false
106,Define `rrule` for SVD.Vt,nickrobinson251,2019-09-17T16:58:27.0,,false
105,PR preview docs,oxinabox,2019-09-16T09:54:41.0,2019-09-20T11:47:23.0,true
104,Rules for turning lazy broadcasted to eager one?,tkf,2019-09-13T08:36:51.0,2019-09-26T11:17:32.0,false
103,introdocs + demo + instructions on writing good rules,oxinabox,2019-09-12T18:35:47.0,2019-09-25T18:12:48.0,true
102,Audit use of `zeros`  vs `Zero`,oxinabox,2019-09-10T11:38:33.0,,false
101,Are the Factorization rules correct for Complex inputs?,oxinabox,2019-09-10T11:22:00.0,,false
100,Missing Scalar Rules,oxinabox,2019-09-05T21:20:15.0,2020-10-22T15:23:39.0,false
99,broadcast rules etc are wrong for if the function broadcasted is a closure,oxinabox,2019-09-05T14:06:49.0,2020-09-29T11:35:31.0,false
98,Fix abs(::Complex),simeonschaub,2019-09-02T19:20:19.0,2019-09-03T12:23:49.0,true
97,Move Base functions out of `/LinearAlgebra/dense.jl`,oxinabox,2019-09-02T13:29:18.0,,false
96,Switch constants over to use test_scalar,oxinabox,2019-09-02T12:59:20.0,2019-09-02T13:53:51.0,true
95,Fix rules for `*`,simeonschaub,2019-08-31T16:23:56.0,2020-01-15T11:24:17.0,true
94,Rename `DNE` -> `DoesNotExist`,nickrobinson251,2019-08-30T15:58:35.0,2019-10-28T18:01:21.0,true
93,Remove uses of add and mul from tests because they have been removed ChainRulesCore,oxinabox,2019-08-29T19:24:59.0,2019-08-30T15:42:58.0,true
92,remove out of date comment,oxinabox,2019-08-29T14:19:19.0,2019-08-29T14:20:03.0,true
91,Overhaul Rules (partner PR),oxinabox,2019-08-27T18:22:52.0,2019-09-19T21:25:52.0,true
90,test wirtinger derivatives with fdm too,simeonschaub,2019-08-26T14:49:13.0,2019-08-28T15:16:30.0,true
88,stop defining derviative of `abs(::Complex)`?,oxinabox,2019-08-23T16:52:49.0,2019-09-03T12:23:49.0,false
87,Add FiniteDifferences based scalar rule tests,oxinabox,2019-08-23T14:25:47.0,2019-08-27T09:53:18.0,true
86,Rules for dervative of asec and acsc with complex input incorrect? ,oxinabox,2019-08-23T13:24:09.0,2020-01-04T15:02:13.0,false
85,"Add rule for `mean(f, x; dims)`",nickrobinson251,2019-08-16T18:30:32.0,,false
84,Move `mean` rule to a Statistics ruleset folder,nickrobinson251,2019-08-16T18:29:16.0,2019-08-16T21:42:17.0,true
83,Update FDM to FiniteDifferences,nickrobinson251,2019-08-12T11:34:53.0,2019-08-12T13:28:30.0,true
82,Fix documentation to use ChainRulesCore,nickrobinson251,2019-08-11T11:40:57.0,2019-08-12T16:49:29.0,true
81,Add tests that check for things not being incredibly generally defined?,oxinabox,2019-08-10T12:33:28.0,,false
80,WIP: adding more rules and fixing old ones,shashi,2019-08-09T22:06:13.0,2019-12-24T18:31:13.0,true
79,Fix atan2 rules,YingboMa,2019-08-09T19:49:11.0,2019-08-09T21:25:30.0,true
78,add rules for constant returning zero and one function,oxinabox,2019-08-09T15:02:52.0,2019-08-21T17:22:15.0,true
77,Restrict the scalar multiplication rules to `Number`s,shashi,2019-08-09T00:08:53.0,2019-08-10T12:34:30.0,true
76,Add FiniteDifferences based tests to some scalar functions,oxinabox,2019-08-08T14:59:00.0,2019-08-27T09:53:18.0,false
75,rules for `mean` need to move to a Statistics ruleset folder,oxinabox,2019-08-08T14:47:39.0,2019-08-16T21:42:17.0,false
74,Fix hypot frule,YingboMa,2019-08-08T14:23:42.0,2019-08-08T14:56:54.0,true
73,Bump travis tests,willtebbutt,2019-08-03T20:23:42.0,2019-08-09T22:53:47.0,true
72,Writie initial Getting Started documentation,nickrobinson251,2019-08-02T22:00:45.0,2019-09-26T11:28:27.0,false
71,Add tests for SpecialFunctions rules,nickrobinson251,2019-08-02T21:49:59.0,2019-08-29T16:51:51.0,false
70,Add tests for NaNMaths rules,nickrobinson251,2019-08-02T21:48:42.0,,false
69,Make `test_utils` available as a stand alone package,nickrobinson251,2019-08-02T20:24:14.0,2020-02-08T01:47:39.0,false
68,use ChainRulesCore,nickrobinson251,2019-08-02T19:59:45.0,2019-08-02T21:32:58.0,true
67,Big re-organization,oxinabox,2019-08-01T22:04:56.0,2019-08-07T11:41:21.0,true
65,Move SpecialFunctions to SpecialFunctionChainRules.jl,oxinabox,2019-07-26T14:52:52.0,2019-08-07T13:03:36.0,false
64,"Add basic complex functions, fix 2-arg `atan`",simeonschaub,2019-06-21T17:24:53.0,2019-08-31T14:45:00.0,true
63,Audit performance of captured variables in closures,ararslan,2019-06-20T18:06:12.0,,false
62,Ensure scalar_rule rules are Number typed,ararslan,2019-06-19T19:28:39.0,2019-06-20T16:48:25.0,true
61,Bring in BLAS names that are used without qualification,ararslan,2019-06-19T18:21:59.0,2019-06-19T20:01:00.0,true
60,Allow keyword arguments in the fallback rrule/frule methods,ararslan,2019-06-19T17:42:26.0,2019-06-19T18:23:52.0,true
59,Add a few more reduction rrules,ararslan,2019-06-19T05:30:24.0,2019-06-21T19:07:26.0,true
58,"Add `_checked_rrule`, which errors if `rrule` returns `nothing`",ararslan,2019-06-18T21:42:09.0,2019-06-19T04:27:24.0,true
57,Define `getindex` on rules,ararslan,2019-06-17T02:03:34.0,2019-06-18T17:03:17.0,true
56,Add rrule for map and expand the testing framework,ararslan,2019-06-16T02:32:59.0,2019-06-18T20:03:15.0,true
55," fix `hypot`, return `Wirtinger` appropriately",simeonschaub,2019-06-15T14:26:47.0,2020-01-15T11:24:36.0,true
54,fix `BLAS.nrm2` and `BLAS.dot`,simeonschaub,2019-06-14T23:47:17.0,2020-05-24T11:05:59.0,true
53, implement a fallthrogh for Wirtinger based on input type ,simeonschaub,2019-06-14T15:46:29.0,2019-08-28T20:14:30.0,true
52,Make sensitivities for structured matrix arguments structured,ararslan,2019-06-13T20:47:12.0,,false
