number,title,login,created_at,closed_at,is_pr
10,Fix debug API.,maleadt,2017-11-07T07:12:02.0,2017-11-07T22:28:53.0,true
9,overhead of getfield projection approach,jrevels,2017-10-11T18:46:26.0,2017-12-12T18:50:02.0,false
8,resolve #4,jrevels,2017-09-05T20:53:14.0,2017-09-05T20:56:40.0,true
7,generated `CodeInfo` inlining should happen in Base rather than in Cassette,jrevels,2017-09-05T16:15:33.0,2018-04-30T22:30:13.0,false
6,world age validation for certain generated functions,jrevels,2017-09-05T16:02:51.0,,false
5,"optimization of ""pass-through"" varargs methods",jrevels,2017-09-05T15:03:38.0,2018-05-10T23:45:24.0,false
4,decouple execution-level metadata from context object ,jrevels,2017-09-04T23:36:47.0,2017-09-05T20:56:41.0,false
3,Design Decisions,jrevels,2017-07-14T21:53:09.0,2017-08-25T21:37:21.0,false
2,Optimize scalar locality for static graph representation,jrevels,2017-06-29T21:21:18.0,2017-12-12T18:46:55.0,false
1,Use Cases,jrevels,2017-06-29T21:16:23.0,2018-05-10T23:46:15.0,false
